"","OceanType","Locale","Depth","Latitude","Temperature","Chlorophyll","Salinity","Oxygen","Density","Time","Hour","Diversity","HourGroup","TimeOfDay","LocaleEdit"
"1.1","Near shore","Hawai'I Nearshore",400,19,25.9,0.234,34.2067,76.026,26.6749,2,16,0.336417264,"3","Afternoon","Hawai'I Nearshore"
"1.2","Near shore","Hawai'I Nearshore",200,19,25.9,0.228,34.5165,166.493,25.485,2,16,0.300475869,"3","Afternoon","Hawai'I Nearshore"
"1.3","Near shore","Hawai'I Nearshore",200,19,25.9,0.232,34.5255,166.753,25.4776,2,16,0,"3","Afternoon","Hawai'I Nearshore"
"1.4","Near shore","Hawai'I Nearshore",5,19,25.9,0.265,34.3943,201.604,22.7318,2,16,0.397197181,"3","Afternoon","Hawai'I Nearshore"
"1.5","Near shore","Hawai'I Nearshore",5,19,25.9,0.272,34.3971,202.238,22.7308,2,16,0.324628979,"3","Afternoon","Hawai'I Nearshore"
"2.2","Near shore","Keiahoe/Hawai'i",400,19,25.7,0.237,34.2461,74.101,26.5795,1,10,0.759827548,"2","Morning","Keiahoe/Hawai'i"
"2.3","Near shore","Keiahoe/Hawai'i",200,19,25.7,0.325,34.3576,146.682,25.5617,1,10,1.201434833,"2","Morning","Keiahoe/Hawai'i"
"2.4","Near shore","Keiahoe/Hawai'i",200,19,25.7,0.347,34.3991,146.754,25.5774,1,10,1.006854537,"2","Morning","Keiahoe/Hawai'i"
"2.5","Near shore","Keiahoe/Hawai'i",50,19,25.7,0.383,34.4192,203.128,22.8553,1,10,1.058479169,"2","Morning","Keiahoe/Hawai'i"
"2.6","Near shore","Keiahoe/Hawai'i",50,19,25.7,0.383,34.4208,203.202,22.8559,1,10,0.573654519,"2","Morning","Keiahoe/Hawai'i"
"3.1","Cyclonic Eddy","Cyclonic Eddy",400,19,25.5,0.248,34.1936,66.954,26.7206,3,23,0.778023924,"4","Night","Cyclonic Eddy"
"3.2","Cyclonic Eddy","Cyclonic Eddy",400,19,25.5,0.249,34.1793,67.966,26.7081,3,23,1.011552894,"4","Night","Cyclonic Eddy"
"3.3","Cyclonic Eddy","Cyclonic Eddy",200,19,25.5,0.223,34.459,164.879,25.7407,3,23,0.742414594,"4","Night","Cyclonic Eddy"
"3.4","Cyclonic Eddy","Cyclonic Eddy",200,19,25.5,0.225,34.3319,165.305,25.6069,3,23,0.477121255,"4","Night","Cyclonic Eddy"
"4.1","Eddy convergence","Eddy convergence",400,18,25.8,0.243,34.2744,50.717,26.6751,1,11,0.734834866,"2","Morning","Eddy convergence"
"4.2","Eddy convergence","Eddy convergence",400,18,25.8,0.242,34.279,51.099,26.6764,1,11,1.069586692,"2","Morning","Eddy convergence"
"5.1","Anticyclonic eddy","Swordfish Seamount",400,18,25.8,0.235,34.2549,63.65,26.6294,3,23,0.620482447,"4","Night","Swordfish Seamount"
"5.2","Anticyclonic eddy","Swordfish Seamount",400,18,25.8,0.234,34.2552,63.865,26.6266,3,23,1.081502189,"4","Night","Swordfish Seamount"
"5.3","Anticyclonic eddy","Swordfish Seamount",200,18,25.8,0.369,34.61,163.881,25.1051,3,23,1.09039088,"4","Night","Swordfish Seamount"
"5.4","Anticyclonic eddy","Swordfish Seamount",200,18,25.8,0.369,34.6238,163.537,25.1116,3,23,1.419506078,"4","Night","Swordfish Seamount"
"6.2","Anticyclonic eddy","Anticyclonic Eddy",400,18,25.6,0.24,34.1652,85.833,26.6059,1,10,0.656256388,"2","Morning","Anticyclonic Eddy"
"6.3","Anticyclonic eddy","Anticyclonic Eddy",400,18,25.6,0.239,34.1637,85.935,26.6024,1,10,1.085258961,"2","Morning","Anticyclonic Eddy"
"6.4","Anticyclonic eddy","Anticyclonic Eddy",200,18,25.6,0.353,35.0073,188.633,24.3943,1,10,0.900972303,"2","Morning","Anticyclonic Eddy"
"6.5","Anticyclonic eddy","Anticyclonic Eddy",200,18,25.6,0.345,34.9827,189.245,24.3699,1,10,0.73690669,"2","Morning","Anticyclonic Eddy"
"7.2","Edge of Cyclonic Eddy","Edge of Cyclonic Eddy",400,17,26.1,0.241,34.2365,65.134,26.6786,3,22,0.89135532,"4","Night","Edge of Cyclonic Eddy"
"7.3","Edge of Cyclonic Eddy","Edge of Cyclonic Eddy",400,17,26.1,0.241,34.2143,65.63,26.6543,3,22,1.465391378,"4","Night","Edge of Cyclonic Eddy"
"7.4","Edge of Cyclonic Eddy","Edge of Cyclonic Eddy",200,17,26.1,0.367,34.7024,169.661,25.096,3,22,1.089249168,"4","Night","Edge of Cyclonic Eddy"
"7.5","Edge of Cyclonic Eddy","Edge of Cyclonic Eddy",200,17,26.1,0.378,34.6728,170.735,25.066,3,22,1.373739763,"4","Night","Edge of Cyclonic Eddy"
"8.1","Cyclonic Eddy","Cyclonic Eddy",400,17,26,0.249,34.205,54.921,26.8024,1,11,1.286073818,"2","Morning","Cyclonic Eddy"
"8.2","Cyclonic Eddy","Cyclonic Eddy",400,17,26,0.247,34.2052,55.117,26.8007,1,11,1.279835154,"2","Morning","Cyclonic Eddy"
"12.2","Open Ocean","Subtropical Gyre",400,14,26.4,0.255,34.5439,15.986,26.8235,1,11,1.110031115,"2","Morning","Subtropical Gyre"
"12.3","Open Ocean","Subtropical Gyre",400,14,26.4,0.255,34.5359,16.478,26.8135,1,11,1.253657035,"2","Morning","Subtropical Gyre"
"13.1","Open Ocean","Open Ocean",210,13,26.6,0.305,34.3649,68.369,26.1747,3,22,0.992385347,"4","Night","Open Ocean"
"13.2","Open Ocean","Open Ocean",210,13,26.6,0.317,34.3813,71.37,26.1791,3,22,1.315645524,"4","Night","Open Ocean"
"16.2","Open Ocean","OMZ Compression",400,10,27.1,0.257,34.6299,9.8,26.8011,1,10,1.656605009,"2","Morning","OMZ Compression"
"16.3","Open Ocean","OMZ Compression",400,10,27.1,0.257,34.6207,9.93,26.7898,1,10,0.051613259,"2","Morning","OMZ Compression"
"17.1","Open Ocean","Divergence",350,10,27.7,0.257,34.633,8.939,26.7819,3,22,0.372536662,"4","Night","Divergence"
"17.2","Open Ocean","Divergence",350,10,27.7,0.257,34.6325,8.871,26.7804,3,22,0.222923989,"4","Night","Divergence"
